date_key,store_id,sku_id,opening_stock,inbound_stock,transfer_in,transfer_out,sold_units,damaged_units,closing_stock,sku_name,category,unit_cost,selling_price,lead_time_hours,case_pack_size,minimum_order_quantity,priority_class,store_name,city_id,store_priority,capacity_units,forecast_daily_mean,forecast_std_daily,forecast_weekly_demand,lead_time_days,safety_stock,reorder_point,target_stock,days_of_cover,hours_to_stockout,stockout_risk_score,risk_level,is_overstocked,excess_units,lost_sales_exposure
20260629,1,1,99,352,0,0,67,0,384,DAIR_MILK_01,Dairy,70.55,95.23,24,8,16,A,BEN_DS_01,1,1,85000,77.86,18.89,545.02,1.0,32,110,578,4.93,88.7,20,Low,False,0,0.0
20260629,1,2,278,0,0,0,54,0,224,DAIR_CURD_02,Dairy,35.11,47.2,24,4,16,A,BEN_DS_01,1,1,85000,58.79,13.08,411.53,1.0,22,81,434,3.81,68.6,20,Low,False,0,0.0
20260629,1,3,277,0,0,0,71,0,206,DAIR_BUTT_03,Dairy,58.56,70.68,12,24,24,A,BEN_DS_01,1,1,85000,82.29,20.48,576.03,0.5,24,66,601,2.5,45.0,22,Low,False,0,0.0
20260629,1,4,303,384,0,0,62,0,625,DAIR_CHEE_04,Dairy,48.68,63.86,48,4,4,A,BEN_DS_01,1,1,85000,72.43,17.31,507.01,2.0,41,186,549,8.63,155.3,20,Low,False,76,0.0
20260629,1,5,135,0,0,0,32,0,103,DAIR_PANE_05,Dairy,69.65,94.1,24,8,24,A,BEN_DS_01,1,1,85000,40.29,9.02,282.03,1.0,15,56,298,2.56,46.1,21,Low,False,0,0.0
20260629,1,6,402,0,0,0,76,0,326,DAIR_MILK_06,Dairy,43.02,50.9,12,6,6,A,BEN_DS_01,1,1,85000,89.14,20.52,623.98,0.5,24,69,648,3.66,65.9,20,Low,False,0,0.0
20260629,1,7,113,336,0,0,64,0,385,DAIR_CURD_07,Dairy,128.43,154.99,24,24,72,A,BEN_DS_01,1,1,85000,76.43,18.58,535.01,1.0,31,108,567,5.04,90.7,20,Low,False,0,0.0
20260629,1,8,402,0,0,0,66,0,336,DAIR_BUTT_08,Dairy,112.98,138.28,72,4,12,A,BEN_DS_01,1,1,85000,80.43,18.58,563.01,3.0,53,295,617,4.18,75.2,20,Low,False,0,0.0
20260629,1,9,118,0,0,0,33,0,85,DAIR_CHEE_09,Dairy,138.24,167.11,36,8,32,A,BEN_DS_01,1,1,85000,41.14,9.53,287.98,1.5,20,82,308,2.07,37.3,27,Low,False,0,0.0
20260629,1,10,273,0,0,0,48,0,225,DAIR_PANE_10,Dairy,83.61,104.2,12,8,24,A,BEN_DS_01,1,1,85000,59.36,15.74,415.52,0.5,19,49,435,3.79,68.2,20,Low,False,0,0.0
20260629,1,11,513,0,0,0,48,0,465,DAIR_MILK_11,Dairy,172.9,214.92,72,8,8,B,BEN_DS_01,1,1,85000,65.36,49.72,457.52,3.0,142,339,600,7.11,128.0,12,Low,False,0,0.0
20260629,1,12,745,552,0,0,73,0,1224,DAIR_CURD_12,Dairy,108.83,143.6,72,12,12,B,BEN_DS_01,1,1,85000,93.71,26.3,655.97,3.0,75,357,731,13.06,235.1,12,Low,False,493,0.0
20260629,1,13,148,264,0,0,65,0,347,DAIR_BUTT_13,Dairy,87.06,121.24,12,4,16,B,BEN_DS_01,1,1,85000,70.93,15.25,496.51,0.5,18,54,515,4.89,88.0,12,Low,False,0,0.0
20260629,1,14,336,456,0,0,63,0,729,DAIR_CHEE_14,Dairy,148.7,190.76,48,24,24,B,BEN_DS_01,1,1,85000,80.21,18.52,561.47,2.0,44,205,606,9.09,163.6,12,Low,False,123,0.0
20260629,1,15,352,0,0,0,51,0,301,DAIR_PANE_15,Dairy,37.46,51.04,24,8,8,B,BEN_DS_01,1,1,85000,60.5,15.0,423.5,1.0,25,86,449,4.98,89.6,12,Low,False,0,0.0
20260629,1,16,256,0,0,0,41,0,215,DAIR_MILK_16,Dairy,104.92,137.79,72,12,36,B,BEN_DS_01,1,1,85000,47.71,10.65,333.97,3.0,31,175,365,4.51,81.2,12,Low,False,0,0.0
20260629,1,17,683,0,0,0,59,0,624,DAIR_CURD_17,Dairy,86.01,108.57,72,4,12,B,BEN_DS_01,1,1,85000,74.36,41.03,520.52,3.0,117,341,638,8.39,151.0,12,Low,False,0,0.0
20260629,1,18,369,0,0,0,35,0,334,DAIR_BUTT_18,Dairy,158.8,203.24,36,6,6,B,BEN_DS_01,1,1,85000,40.07,8.29,280.49,1.5,17,78,298,8.34,150.1,12,Low,False,36,0.0
20260629,1,19,414,0,0,0,72,0,342,DAIR_CHEE_19,Dairy,139.36,189.48,72,24,24,B,BEN_DS_01,1,1,85000,82.0,18.75,574.0,3.0,54,300,628,4.17,75.1,12,Low,False,0,0.0
20260629,1,20,216,0,0,0,60,0,156,DAIR_PANE_20,Dairy,115.11,139.53,12,6,12,B,BEN_DS_01,1,1,85000,70.79,16.56,495.53,0.5,20,56,516,2.2,39.6,17,Low,False,0,0.0
20260629,1,21,81,340,0,0,72,0,349,DAIR_MILK_21,Dairy,43.02,59.48,36,4,8,B,BEN_DS_01,1,1,85000,76.57,16.75,535.99,1.5,34,149,570,4.56,82.1,12,Low,False,0,0.0
20260629,1,22,231,264,0,0,48,0,447,DAIR_CURD_22,Dairy,44.58,53.74,36,12,12,B,BEN_DS_01,1,1,85000,55.14,12.09,385.98,1.5,25,108,411,8.11,146.0,12,Low,False,36,0.0
20260629,1,23,210,0,0,0,74,0,136,DAIR_BUTT_23,Dairy,47.94,57.13,36,8,24,B,BEN_DS_01,1,1,85000,88.57,20.62,619.99,1.5,42,175,662,1.54,27.7,25,Low,False,0,0.0
20260629,1,24,667,516,0,0,71,0,1112,DAIR_CHEE_24,Dairy,82.98,103.72,72,12,48,B,BEN_DS_01,1,1,85000,86.43,19.46,605.01,3.0,56,316,662,12.87,231.7,12,Low,False,450,0.0
20260629,1,25,433,0,0,0,66,0,367,DAIR_PANE_25,Dairy,156.18,185.79,36,24,24,B,BEN_DS_01,1,1,85000,76.86,18.88,538.02,1.5,39,155,578,4.77,85.9,12,Low,False,0,0.0
20260629,1,26,503,0,0,0,40,0,463,DAIR_MILK_26,Dairy,59.9,78.21,72,6,6,B,BEN_DS_01,1,1,85000,45.07,11.03,315.49,3.0,32,168,348,10.27,184.9,12,Low,False,115,0.0
20260629,1,27,436,340,0,0,48,0,728,DAIR_CURD_27,Dairy,79.78,103.33,72,4,16,B,BEN_DS_01,1,1,85000,61.36,15.18,429.52,3.0,44,229,474,11.86,213.5,12,Low,False,254,0.0
20260629,1,28,197,0,0,0,29,0,168,DAIR_BUTT_28,Dairy,28.31,39.17,48,24,96,B,BEN_DS_01,1,1,85000,45.29,13.47,317.03,2.0,32,123,350,3.71,66.8,12,Low,False,0,0.0
20260629,1,29,136,0,0,0,38,0,98,DAIR_CHEE_29,Dairy,164.42,229.45,24,8,32,B,BEN_DS_01,1,1,85000,44.93,11.51,314.51,1.0,19,64,334,2.18,39.2,18,Low,False,0,0.0
20260629,1,30,278,0,0,0,66,0,212,DAIR_PANE_30,Dairy,122.8,165.95,48,24,72,B,BEN_DS_01,1,1,85000,73.64,17.26,515.48,2.0,41,189,557,2.88,51.8,12,Low,False,0,0.0
20260629,1,31,418,0,0,0,69,0,349,BEVE_JUIC_01,Beverages,68.99,94.42,72,12,24,A,BEN_DS_01,1,1,85000,77.57,17.59,542.99,3.0,51,284,594,4.5,81.0,20,Low,False,0,0.0
20260629,1,32,284,0,0,0,77,0,207,BEVE_COLD_02,Beverages,82.15,101.75,12,8,16,A,BEN_DS_01,1,1,85000,90.21,20.45,631.47,0.5,24,70,656,2.29,41.2,24,Low,False,0,0.0
20260629,1,33,174,0,0,0,43,0,131,BEVE_TEA _03,Beverages,58.77,72.36,24,8,16,A,BEN_DS_01,1,1,85000,52.5,11.84,367.5,1.0,20,73,388,2.5,45.0,22,Low,False,0,0.0
20260629,1,34,251,0,0,0,44,0,207,BEVE_ENER_04,Beverages,49.39,62.4,12,6,12,A,BEN_DS_01,1,1,85000,54.93,12.83,384.51,0.5,15,43,400,3.77,67.9,20,Low,False,0,0.0
20260629,1,35,201,0,0,0,56,0,145,BEVE_WATE_05,Beverages,114.63,158.37,72,12,24,A,BEN_DS_01,1,1,85000,59.43,12.64,416.01,3.0,37,216,454,2.44,43.9,23,Low,False,0,0.0
20260629,1,36,182,0,0,0,41,2,139,BEVE_JUIC_06,Beverages,71.22,97.34,36,6,24,A,BEN_DS_01,1,1,85000,46.36,10.26,324.52,1.5,21,91,346,3.0,54.0,20,Low,False,0,0.0
20260629,1,37,133,0,0,0,34,0,99,BEVE_COLD_07,Beverages,70.94,93.59,12,4,12,A,BEN_DS_01,1,1,85000,41.29,9.34,289.03,0.5,11,32,301,2.4,43.2,23,Low,False,0,0.0
20260629,1,38,107,240,0,0,54,0,293,BEVE_TEA _08,Beverages,36.25,48.32,36,24,24,A,BEN_DS_01,1,1,85000,62.29,13.9,436.03,1.5,29,123,466,4.7,84.6,20,Low,False,0,0.0
20260629,1,39,72,184,0,0,40,0,216,BEVE_ENER_09,Beverages,79.51,95.49,48,8,8,A,BEN_DS_01,1,1,85000,48.14,12.08,336.98,2.0,29,126,366,4.49,80.8,20,Low,False,0,0.0
20260629,1,40,911,0,0,0,55,0,856,BEVE_WATE_10,Beverages,113.27,137.08,72,4,16,A,BEN_DS_01,1,1,85000,71.79,16.98,502.53,3.0,49,265,552,11.92,214.6,20,Low,False,304,0.0
20260629,1,41,236,0,0,0,54,0,182,BEVE_JUIC_11,Beverages,77.34,104.58,72,24,96,B,BEN_DS_01,1,1,85000,60.57,13.43,423.99,3.0,39,221,463,3.0,54.0,12,Low,False,0,0.0
20260629,1,42,269,0,0,0,68,0,201,BEVE_COLD_12,Beverages,41.61,54.5,12,8,24,B,BEN_DS_01,1,1,85000,80.71,19.94,564.97,0.5,24,65,589,2.49,44.8,14,Low,False,0,0.0
20260629,1,43,231,0,0,0,64,0,167,BEVE_TEA _13,Beverages,32.99,43.03,12,8,16,B,BEN_DS_01,1,1,85000,72.86,17.28,510.02,0.5,21,58,532,2.29,41.2,16,Low,False,0,0.0
20260629,1,44,616,0,0,0,42,0,574,BEVE_ENER_14,Beverages,69.88,94.2,72,8,16,B,BEN_DS_01,1,1,85000,52.43,12.76,367.01,3.0,37,195,405,10.95,197.1,12,Low,False,169,0.0
20260629,1,45,1043,0,0,0,68,0,975,BEVE_WATE_15,Beverages,77.96,107.96,72,12,12,B,BEN_DS_01,1,1,85000,79.93,17.87,559.51,3.0,51,291,611,12.2,219.6,12,Low,False,364,0.0
20260629,1,46,658,0,0,0,71,0,587,BEVE_JUIC_16,Beverages,24.21,32.07,48,24,96,B,BEN_DS_01,1,1,85000,79.43,18.92,556.01,2.0,45,204,602,7.39,133.0,12,Low,False,0,0.0
20260629,1,47,263,288,0,0,44,0,507,BEVE_COLD_17,Beverages,85.48,107.14,48,24,96,B,BEN_DS_01,1,1,85000,54.93,12.46,384.51,2.0,29,139,414,9.23,166.1,12,Low,False,93,0.0
20260629,1,48,294,0,0,0,43,0,251,BEVE_TEA _18,Beverages,43.41,54.7,36,6,6,B,BEN_DS_01,1,1,85000,50.86,12.75,356.02,1.5,26,103,383,4.94,88.9,12,Low,False,0,0.0
20260629,1,49,439,0,0,0,66,0,373,BEVE_ENER_19,Beverages,30.52,42.3,36,12,24,B,BEN_DS_01,1,1,85000,72.57,17.78,507.99,1.5,36,145,544,5.14,92.5,12,Low,False,0,0.0
20260629,1,50,508,0,0,0,42,0,466,BEVE_WATE_20,Beverages,91.62,119.26,72,6,24,B,BEN_DS_01,1,1,85000,43.36,10.4,303.52,3.0,30,161,334,10.75,193.5,12,Low,False,132,0.0
20260629,1,51,146,240,0,0,44,0,342,BEVE_JUIC_21,Beverages,65.33,82.5,48,4,12,B,BEN_DS_01,1,1,85000,46.0,9.02,322.0,2.0,21,113,343,7.43,133.7,12,Low,False,0,0.0
20260629,1,52,117,0,0,0,28,0,89,BEVE_COLD_22,Beverages,114.88,138.55,24,24,72,B,BEN_DS_01,1,1,85000,34.79,7.84,243.53,1.0,13,48,257,2.56,46.1,13,Low,False,0,0.0
20260629,1,53,104,360,0,0,68,0,396,BEVE_TEA _23,Beverages,27.8,36.4,12,8,8,B,BEN_DS_01,1,1,85000,79.86,17.95,559.02,0.5,21,61,581,4.96,89.3,12,Low,False,0,0.0
20260629,1,54,833,0,0,0,68,0,765,BEVE_ENER_24,Beverages,62.7,85.37,36,24,48,B,BEN_DS_01,1,1,85000,73.14,16.34,511.98,1.5,33,143,545,10.46,188.3,12,Low,False,220,0.0
20260629,1,55,320,396,0,0,64,0,652,BEVE_WATE_25,Beverages,61.44,76.58,36,12,48,B,BEN_DS_01,1,1,85000,73.71,17.7,515.97,1.5,36,147,552,8.85,159.3,12,Low,False,100,0.0
20260629,1,56,162,300,0,0,67,0,395,BEVE_JUIC_26,Beverages,26.61,37.24,12,12,24,B,BEN_DS_01,1,1,85000,79.07,18.24,553.49,0.5,22,62,576,5.0,90.0,12,Low,False,0,0.0
20260629,1,57,165,0,0,0,51,0,114,BEVE_COLD_27,Beverages,102.87,123.8,48,4,12,B,BEN_DS_01,1,1,85000,60.64,14.11,424.48,2.0,33,155,458,1.88,33.8,21,Low,False,0,0.0
20260629,1,58,541,0,0,0,67,0,474,BEVE_TEA _28,Beverages,83.26,99.9,48,24,24,B,BEN_DS_01,1,1,85000,66.93,15.99,468.51,2.0,38,172,507,7.08,127.4,12,Low,False,0,0.0
20260629,1,59,480,0,0,0,39,0,441,BEVE_ENER_29,Beverages,40.29,48.81,72,24,24,B,BEN_DS_01,1,1,85000,43.21,8.99,302.47,3.0,26,156,329,10.21,183.8,12,Low,False,112,0.0
20260629,1,60,514,0,0,0,34,0,480,BEVE_WATE_30,Beverages,110.62,146.5,72,4,4,B,BEN_DS_01,1,1,85000,41.93,10.1,293.51,3.0,29,155,323,11.45,206.1,12,Low,False,157,0.0
20260629,1,61,174,0,0,0,58,0,116,SNAC_CHIP_01,Snacks,17.23,22.63,72,24,24,A,BEN_DS_01,1,1,85000,70.93,16.33,496.51,3.0,47,260,544,1.64,29.5,32,Medium,False,0,0.0
